Name,Type
Human Relation ,Journal
Cornell Hotel and Restaurant Administration Quarterly ,Journal
Computers in Human Behaviour ,Journal
J. MIS ,Journal
Monthly Labour Review ,Journal
Biometrika ,Journal
Computers and Society ,Journal
Computer in Human Behavior ,Journal
MIS Q. ,Journal
Man. Sci. ,Journal
Business Strategy Series ,Journal
Behaviour and Information Technology ,Journal
J. Manage. Info. Syst. ,Journal
Proceedings of IEEE NORTHCON/94 Conference ,Journal
Cyber Psychology and Behaviour ,Journal
MIS Quarterly ,Journal
Commun. ACM ,Journal
Computer & Security ,Journal
Proceeding ,Journal
Conference ,Journal
Southern Communication Journal ,Journal
Econometrica ,Journal
Jurnal Kemanusiaan ,Journal
Workforce ,Journal
Security Management ,Journal
Work & Stress ,Journal
Psychometrika ,Journal
Theoretical Issues in Ergonomic Science ,Journal
"Attention, Perception, & Psychophysics ",Journal
Neuropsychologia ,Journal
Info. Tech. Learning and Perfor. J. ,Journal
Cyberpsychology & Behavior ,Journal
Annual Review of Sociology ,Journal
CyberPsychology and Behavior ,Journal
Behavior and Information Technology ,Journal
Psychologist ,Journal
Kango kenkyu. The Japanese journal of nursing research ,Journal
Socioeconomic Planning Sciences ,Journal
Rand Journal of Economics ,Journal
omega ,Journal
Organization Behaviour and Human Decision Processes ,Journal
Behaviour & Information Technology ,Journal
Quality & Quantity ,Journal
Public Money & Management ,Journal
Health Manpower Management ,Journal
Journal of Systems Management ,Journal
Journal of the Australian and New Zealand Academy of Management ,Journal
"The Journal of sports medicine and physical fitness, ",Journal
Production and Inventory Management Journal ,Journal
Journal of psychiatric research ,Journal
Journal of human stress ,Journal
International journal of health services ,Journal
Critical Studies in Mass Communication ,Journal
Social science & medicine ,Journal
Critical Practice Studies ,Journal
Labour Econ. ,Journal
JMIR ,Journal
"Systems, Objectives, Solutions ",Journal
Psicología Educativa ,Journal
Operant Subjectivity ,Journal
Transactions on Information Systems ,Journal
American programmer ,Journal
TOIS ,Journal
CSUR ,Journal
System Practice ,Journal
Journal of End User Computing ,Journal
Industrial Management & Data Systems ,Journal
Alpha Omega Alpha ,Journal
Advances in Biochemical Psychopharmacology ,Journal
Journal of occupational health psychology ,Journal
Behavioral medicine ,Journal
Comprehensive therapy ,Journal
Behavioral science ,Journal
Psychological bulletin ,Journal
Psychosomatic medicine ,Journal
Social science & medicine ,Journal
Nursing research ,Journal
Health care management review ,Journal
Psychosomatic medicine ,Journal
Psychological review ,Journal
Medicine and science in sports and exercise ,Journal
Alternative therapies in health and medicine ,Journal
Neuropsychobiology ,Journal
EJIS ,Journal
Journal of Applied Behavioral Science ,Journal
Organizational Science ,Journal
Organisation Science  ,Journal
Academy of Management Executive ,Journal
Journal of Applied Behavioral Science ,Journal
Journal of Construction Research ,Journal
Industrial Management & Data Systems ,Journal
Information Technologies and International Development ,Journal
Journal of Narrative & Life History ,Journal
Journal of personality and social psychology ,Journal
Journal of Market Research ,Journal
e-Service Journal ,Journal
Management Services ,Journal
International Conference on Information Systems ,Journal
ECIS 2011 Proceedings ,Journal
ECIS 2009 Proceedings ,Journal
Scientometrics ,Journal
Journal of the Washington Academy of Science ,Journal
DATA BASE for Advances in Information Systems ,Journal
Journal of Applied Behavioral Science ,Journal
APROS Conference on Organising Knowledge Economies and Societies ,Journal
In The Proceedings of The European Conference on Information Systems ECIS ,Journal
"In The Proceedings of the Thirteenth Australasian Conference on Information Systems, ACIS: Enabling Orga- nisations and Society through Information Systems  ",Journal
"ECIS, ACIS, APROS ",Journal
Journal of Women in Culture and Society ,Journal
Proceedings of the 21st International Conference on Information Systems ,Journal
Journal of Managerial Issues ,Journal
International Management Review ,Journal
Communications of the AIS ,Journal
Information Technology Management ,Journal
Acta psychologica ,Journal
SIGSOFT Software Engineering Notes ,Journal
Inf. Manag. ,Journal
Inf. Syst. Res. ,Journal
Annual review of psychology+ ,Journal
J. Polit. Econ. ,Journal
Wash. Univ. Law Rev. ,Journal
Software Magazine ,Journal
PICMET Conference Proceedings ,Journal
J. Inf. Syst. ,Journal
Int. J. Proj. Manag. ,Journal
Organ. Sci. ,Journal
Eur. J. Inf. Syst. ,Journal
J. Appl. Behav. Sci. ,Journal
The Journal of Defense Software Engineering ,Journal
J. Financ. Econ. ,Journal
Constr. Manag. Econ. ,Journal
Int. J. Proj. Manag. ,Journal
J. Econ. ,Journal
Ehpemera ,Journal
Constr. Manag. Econ. ,Journal
Proj. Manag. J. ,Journal
Organ. Sci. ,Journal
Long Range Plan ,Journal
Int. Stud. Manag. Organ. ,Journal
J. Manag. Stud. ,Journal
Hum. Relat. ,Journal
J. Manag. ,Journal
Hum. Relat. ,Journal
J. Appl. Psychol ,Journal
Br. J. Manag. ,Journal
Proj. Manag. ,Journal
Scand. J. Manag. ,Journal
Leadersh. Q. ,Journal
Information Infrastructure and Policy ,Journal
Organizational Behaviour and Human Decision Processes ,Journal
"Accounting, Management, and Information Technologies ",Journal
Industrial Management & Data Systems ,Journal
Paper presented at the Proceedings of the 9th European Conference on Information Systems ,Journal
Journal of Product and Innovation Management ,Journal
Comparative political studies ,Journal
Journal of Systems Management ,Journal
The DATA BASE for Advances in Information Systems ,Journal
Sloan Management Review ,Journal
Engineering Construction and Architecture Management ,Journal
Paper presented at the EURAM 2006 Conference in Oslo ,Journal
Econometrica ,Journal
Management Information Systems Quarterly ,Journal
The 5th Internat. Conf. Enterprise Inform. Systems ,Journal
J. Inform. Tech. ,Journal
Inform. Software Tech. ,Journal
Journal of the AIS  ,Journal
Communications of the Association of Information Systems ,Journal
American Educator ,Journal
"Discipline, Journal of the AIS ",Journal
Infosystems ,Journal
J. Manag. Inf. Syst ,Journal
ICIS ,Journal
J. Manag. Inf. Syst ,Journal
Inf. Manag. ,Journal
Journal of Electronic Commerce Suc- cess ,Journal
Inform. Systems ,Journal
Internat. J. Oper. Production Management ,Journal
Eur. Management J. ,Journal
Proc. 37th Hawaii Internat. Conf. System Sci. ,Journal
Indust. Marketing Management ,Journal
Software Engrg. Notes ,Journal
Inform. Systems Res. ,Journal
Management Sci. ,Journal
"Amer. Soc. Mech. Engineers, ",Journal
Inform. Systems J. ,Journal
Inform. Management ,Journal
Eur. J. Inform. Systems ,Journal
Software Development ,Journal
Management Sci. ,Journal
Omega ,Journal
Management Sci. ,Journal
Internat. J. Tech. Management ,Journal
Manufacturing Engineer ,Journal
Internat. J. Production Res. ,Journal
Technovation ,Journal
