Authors,Title,Year,Source title,Link,Document Type,Source
"McFarlan F.W.","Portfolio approach to information systems",1981,"Harvard Business Review",,,Scopus
"Parente S.L., Prescott E.C.","Barriers to technology adoption and development",1994,"Journal of Political Economy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028579852&doi=10.1086%2f261933&partnerID=40&md5=ec528d531a8cde018bb43fd6b751d05e",Article,Scopus
"Ciborra C.",[No title available],2000,"From Control to Drift: The Dynamics of Corporate Information Infrastructures",,,Scopus
"Scott W.R.","Institutional theory: Contributing to a theoretical research program",2005,"Great Minds in Management: The Process of Theory Development",,,Scopus
"Kaplan B., Duchon D.","Combining qualitative and quantitative methods in information systems research: A case study",1988,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249113766&doi=10.2307%2f249133&partnerID=40&md5=5d07d617acac9b74e55cbe4a31f9dda0",Article,Scopus
"Zhu K., Kraemer K.L., Xu S., Dedrick J.","Information technology payoff in E-Business environments: An international perspective on value creation of E-Business in the financial services industry",2004,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142729903&doi=10.1080%2f07421222.2004.11045797&partnerID=40&md5=a0aaf56d871f3c19998164c64025d5fa",Article,Scopus
"Akkermans H., Van Helden K.","Vicious and virtuous cycles in ERP implementation: A case study of interrelations between critical success factors",2002,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036001767&doi=10.1057%2fpalgrave.ejis.3000418&partnerID=40&md5=79f196541bd41516705fc3a5945a20be",Article,Scopus
"Meade N., Islam T.","Modelling and forecasting the diffusion of innovation - A 25-year review",2006,"International Journal of Forecasting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745933045&doi=10.1016%2fj.ijforecast.2006.01.005&partnerID=40&md5=a475e2b0df4cdd48b7763d845a969d3a",Article,Scopus
"Nardi B.A.","Studying context: A comparison of activity theory, situated action models, and distributed cognition",1996,"Context and Consciousness",,,Scopus
"Grover V.","An Empirically Derived Model for the Adoption of Customer‐based Interorganizational Systems",1993,"Decision Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990610714&doi=10.1111%2fj.1540-5915.1993.tb01295.x&partnerID=40&md5=cb2e0cbce644f4b357df7c2a53d85d5a",Article,Scopus
"White L.","The Science of Culture",1949,"The Science of Culture",,,Scopus
"Mansell R., Wehn U.",[No title available],1998,"Knowledge Societies: Information Technology for Sustainable Development",,,Scopus
"Rainey H.G., Backoff R.W., Levine C.H.","Comparing public and private organizations",1976,"Public Administration Review",,,Scopus
[No author name available],[No title available],1995,"Statistical Yearbook of Bangladesh",,,Scopus
"Zhu K.","The complementarity of information technology infrastructure and E-commerce capability: A Resource-based assessment of their business value",2004,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142690411&doi=10.1080%2f07421222.2004.11045794&partnerID=40&md5=8a3bf1e2a375964c9c95c7ec3f621697",Article,Scopus
"Stewart K.A., Segars A.H.","An empirical examination of the concern for information privacy instrument",2002,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036004583&doi=10.1287%2fisre.13.1.36.97&partnerID=40&md5=506cfcc04f5a1dcf77fc1544fb8d2d9e",Article,Scopus
"Hill T., Smith N.D., Mann M.F.","Role of Efficacy Expectations in Predicting the Decision to Use Advanced Technologies: The Case of Computers",1987,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002111266&doi=10.1037%2f0021-9010.72.2.307&partnerID=40&md5=10de9c073730af602608325eb19d7c1e",Article,Scopus
"Rumelt R.P., Schendel D., Teece D.J.","Strategic management and economics",1991,"Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989023371&doi=10.1002%2fsmj.4250121003&partnerID=40&md5=7a92c0e6db5cb8ab6b516b79b41e8c11",Article,Scopus
"Norris D.F., Moon M.J.","Advancing E-government at the grassroots: Tortoise or hare¿",2005,"Public Administration Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-12344317788&doi=10.1111%2fj.1540-6210.2005.00431.x&partnerID=40&md5=99e64d24a4c67098ad1aa28b05ed67c3",Review,Scopus
"Kaplan S., Sawhney M.","E-hubs: the new B2B (business-to-business) marketplaces.",2000,"Harvard Business Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034188726&partnerID=40&md5=df1bd8458dfc6141e45160a7a871467c",Article,Scopus
"Earl M.J.","Experiences in strategic information systems planning",1993,"MIS Quarterly",,,Scopus
"Dewan S., Kraemer K.L.","Information technology and productivity: Evidence from country-level data",2000,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033745940&doi=10.1287%2fmnsc.46.4.548.12057&partnerID=40&md5=8548c739eb48cb3bbbfdae07d7b1f8b3",Article,Scopus
"Kumar K., van Hillegersberg J.","ERP experiences and evolution",2000,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013153969&doi=10.1145%2f332051.332063&partnerID=40&md5=1c6be2440f4159c1491ab73e6947135c",Article,Scopus
"Schultze U., Leidner D.E.","Studying knowledge management in information systems research: DISCOURSES and theoretical assumptions",2002,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013064970&doi=10.2307%2f4132331&partnerID=40&md5=f5fc13f8a665139618e1b04d7fe09225",Article,Scopus
"Nolan R.L.","Managing the Computer Resource: A Stage Hypothesis",1973,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015646337&doi=10.1145%2f362280.362284&partnerID=40&md5=f95e6c30edc0284cd9b010d80222cd40",Article,Scopus
"Gallivan M.J.","Organizational Adoption and Assimilation of Complex Technological Innovations: Development and Application of a New Framework",2001,"Data Base for Advances in Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002263438&doi=10.1145%2f506724.506729&partnerID=40&md5=0ba300df0abfac40a309d7242c21edfc",Article,Scopus
"Munnell A.H.","Infrastructure investment and economic growth",1992,"Journal of Economic Perspectives",,,Scopus
"Gable G.G.","Integrating case study and survey research methods: An example in information systems",1994,"European Journal of Information Systems",,,Scopus
"Strauss A., Corbin J.","Grounded theory methodology: An overview",1998,"Strategies of Qualitative Inquiry",,,Scopus
"Walsham G., Sahay S.","GIS for district-level administration in India: Problems and opportunities",1999,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002024750&doi=10.2307%2f249409&partnerID=40&md5=567799a636da66987767831fcc42fbce",Article,Scopus
"Baskerville R., Wood-Harper A.T.","Diversity in information systems action research methods",1998,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22044451957&doi=10.1057%2fpalgrave.ejis.3000298&partnerID=40&md5=df527998ad228e304b7564374396c003",Article,Scopus
"Kwan M.-P.","Feminist visualization: Re-envisioning GIS as a method in feminist geographic research",2002,"Annals of the Association of American Geographers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041642920&doi=10.1111%2f1467-8306.00309&partnerID=40&md5=0882060ed038ec4a8f32d30627d90ad1",Review,Scopus
"Rice R.E., Katz J.E.","Comparing internet and mobile phone usage: Digital divides of usage, adoption, and dropouts",2003,"Telecommunications Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042160079&doi=10.1016%2fS0308-5961%2803%2900068-5&partnerID=40&md5=bfa8abe177bee069058427ff576f3ea7",Article,Scopus
"Thong J.Y.L., Yap C.-S., Raman K.S.","Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",1996,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030488640&doi=10.1287%2fisre.7.2.248&partnerID=40&md5=593d2f6a7345022d666b1d72b071bda3",Article,Scopus
"Dewan S., Riggins F.J.","The digital divide: Current and future research directions",2005,"Journal of the Association for Information Systems",,,Scopus
"Galbraith J.",[No title available],1977,"Organizational Design",,,Scopus
"Newman M., Robey D.","A social process model of user-analyst relationships",1992,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349142494&doi=10.2307%2f249578&partnerID=40&md5=5a6d9b293799e0ea50819f10ad9b9c07",Article,Scopus
"Govindasamy T.","Successful implementation of e-Learning Pedagogical considerations",2001,"Internet and Higher Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042734214&doi=10.1016%2fS1096-7516%2801%2900071-9&partnerID=40&md5=a4e8bfcb3ff82b911cfc57330e4e05cd",Article,Scopus
"Soh C., Markus M.L.","How IT creates business value: A process theory synthesis",1995,"Proceedings of the Sixteenth International Conference on Information Systems",,,Scopus
"Arnold D.J., Quelch J.A.","New strategies in emerging markets",1998,"Sloan Management Review",,,Scopus
"Bangemann M.",[No title available],1994,"Europe and the Global Information Society: Recommendations to the European Council",,,Scopus
"Walsham G.","Actor-network theory and IS research: Current status and future prospects",1997,"Information Systems and Qualitative Research",,,Scopus
"Sethi Vijay, King William R.","Development of measures to assess the extent to which an information technology application provides competitive advantage",1994,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028752003&doi=10.1287%2fmnsc.40.12.1601&partnerID=40&md5=631a092c12baa64dd9f1783216005061",Article,Scopus
"Walsham G.","Cross-cultural software production and use: A structurational analysis",2002,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041864816&doi=10.2307%2f4132313&partnerID=40&md5=15db50f36ca4db548f4b7172e598d0bf",Review,Scopus
"Chen Y., Zhu J.","Measuring information technology's indirect impact on firm performance",2004,"Information Technology and Management",,,Scopus
"Aronoff S.","Geographic information systems: a management perspective",1989,"Geographic information systems: a management perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040884428&partnerID=40&md5=1deaacfc5408336e6ca3fef38a9e35a8",Article,Scopus
"Grover V., Jeong S.R., Kettinger W.J., Teng J.T.C.","The implementation of business process reengineering",1995,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749115957&doi=10.1080%2f07421222.1995.11518072&partnerID=40&md5=8679da6c283a30ff58a77c57f9b65480",Article,Scopus
"Gadgil M., Guha R.","Ecology and equity: the use and abuse of nature in contemporary India",1995,"Ecology and equity: the use and abuse of nature in contemporary India","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041152711&partnerID=40&md5=c27109e06f016ac7ab5993c9da3e5880",Article,Scopus
"Rockart J.F., Earl M.J., Ross J.W.","Eight imperatives for the new IT organization",1996,"Sloan Management Review",,,Scopus
"Sabherwal R., Hirschheim R., Goles T.","The Dynamics of Alignment: Insights from a Punctuated Equilibrium Model",2001,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035638261&doi=10.1287%2forsc.12.2.179.10113&partnerID=40&md5=4d0c7cefa3995023754f5267cf6e1ff1",Article,Scopus
"Fichman R.G.","The diffusion and assimilation of information technology innovations",2000,"Framing the Domains of IT Management: Projecting the Future Through the Past",,,Scopus
"Brokensha D.W., Warren D.M., Werner O.","Indigenous knowledge systems and development.",1980,"Indigenous knowledge systems and development.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040209934&partnerID=40&md5=7fbd051f85a05051337d2477fe1c61b9",Article,Scopus
[No author name available],"World development report 1998/99: knowledge for development",1999,"World development report 1998/99: knowledge for development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032902577&partnerID=40&md5=cbc1cdc58850cc5efc94ae00e7484864",Book,Scopus
"Bellamy C., Taylor J.A.",[No title available],1998,"Governing in the Information Age",,,Scopus
"Walsham G., Sahay S.","Research on information systems in developing countries: Current landscape and future prospects",2006,"Information Technology for Development",,,Scopus
"McNurlin B.C., Sprague R.H.",[No title available],1989,"Information Systems Management in Practice",,,Scopus
"King W.R.","Strategic planning for management information systems",1978,"MIS Quarterly",,,Scopus
"Chinn M.D., Fairlie R.W.","The determinants of the global digital divide: A cross-country analysis of computer and internet penetration",2007,"Oxford Economic Papers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845870172&doi=10.1093%2foep%2fgpl024&partnerID=40&md5=d6ed209757b383e1f45976b0bf8ceb59",Article,Scopus
"Nord W.R., Tucker S.",[No title available],1987,"Implementing Routine and Radical Innovations",,,Scopus
"Gherardi S., Nicolini D.","To Transfer is to Transform: The Circulation of Safety Knowledge",2000,"Organization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002183976&doi=10.1177%2f135050840072008&partnerID=40&md5=c48264fdd5f83dd4ff4e8f4efe779156",Article,Scopus
"Marsh H.W., Hocevar D.","A New, More Powerful Approach to Multitrait-Multimethod Analyses: Application of Second-Order Confirmatory Factor Analysis",1988,"Journal of Applied Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000922312&doi=10.1037%2f0021-9010.73.1.107&partnerID=40&md5=2a6b79b510661b4c33b2170751b783a8",Article,Scopus
"Spinuzzi C.",[No title available],2003,"Tracing Genres Through Organizations: A Sociocultural Approach to Information Design",,,Scopus
"Barley S.R.","Semiotics and the study of occupational and organizational cultures",1983,"Administrative Science Quarterly",,,Scopus
"Robinson Bruce, Lakhani Chet","DYNAMIC PRICE MODELS FOR NEW-PRODUCT PLANNING.",1975,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016519760&doi=10.1287%2fmnsc.21.10.1113&partnerID=40&md5=ea0c528e4fd2c0bbcb5d762f9a6fa893",Article,Scopus
"Parker M.",[No title available],2000,"Organizational Culture and Identity",,,Scopus
"Walsham G.","Making a world of difference: IT in a global context",2001,"Making a World of Difference: IT in a Global Context",,,Scopus
"Luftman J.N., Papp R., Brier T.","Enablers and inhibitors of business-IT alignment",1999,"Communications of the Association for Information Systems",,,Scopus
"Lederer A.L., Sethi V.","The implementation of strategic information systems planning methodologies",1988,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249095658&doi=10.2307%2f249212&partnerID=40&md5=24cd93f03b36c7c383655652d0629e6a",Article,Scopus
"Sharma R., Yetton P.","The contingent effects of management support and task interdependence on successful information systems implementation",2003,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744271734&doi=10.2307%2f30036548&partnerID=40&md5=9a0f02f188aa5aab317a85e750c1bf69",Review,Scopus
"Zucker L.G.","The role of institutionalization in cultural persistence",1991,"The New Institutionalism in Organizational Analysis",,,Scopus
"Star J., Estes J.",[No title available],1990,"Geographic Information Systems: An Introduction",,,Scopus
"Schlesinger S., Kinzer S.",[No title available],1982,"Bitter Fruit: The Untold Story of the American Coup in Guatemala",,,Scopus
"Suchman L.","Located accountabilities in technology production",2002,"Scandinavian Journal of Information Systems",,,Scopus
"Boland R.J., Tenkasi R.V., Te'eni D.","Designing information technology to support distributed cognition",1994,"Organization Science",,,Scopus
"Van Everdingen Y., Van Hillegersberg J., Waarts E.","ERP adoption by European midsize companies",2000,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002102191&doi=10.1145%2f332051.332064&partnerID=40&md5=63f44af1f0d10cd31655242af81638b4",Article,Scopus
"Braa J., Monteiro E., Sahay S.","Networks of action: Sustainable health information systems across developing countries",2004,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744245296&doi=10.2307%2f25148643&partnerID=40&md5=a7ff8bcfef7069bc196257e9c890e3c4",Article,Scopus
"Kiiski S., Pohjola M.","Cross-country diffusion of the Internet",2002,"Information Economics and Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036601828&doi=10.1016%2fS0167-6245%2801%2900071-3&partnerID=40&md5=b18a7c6eacdc61f11f785a827c60f17a",Article,Scopus
"Adesina A.A., Baidu-Forson J.","Farmers' perceptions and adoption of new agricultural technology: evidence from analysis in Burkina Faso and Guinea, West Africa",1995,"Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029485264&doi=10.1016%2f0169-5150%2895%2901142-8&partnerID=40&md5=55102d12f15d31215f3b1b77e4a59051",Article,Scopus
"Caselli F., Coleman II W.J.","Cross-country technology diffusion: The case of computers",2001,"American Economic Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001363525&doi=10.1257%2faer.91.2.328&partnerID=40&md5=4de934472b2c91394d209663b1ee34b7",Article,Scopus
"Hart P.J., Saunders C.S.","Emerging electronic partnerships: Antecedents and dimensions of EDI use from the supplier's perspective",1997,"Journal of Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032223734&doi=10.1080%2f07421222.1998.11518187&partnerID=40&md5=b9bbcbebabdcfd4d7b263125b6288b30",Review,Scopus
"Bødker S.",[No title available],1991,"Through the Interface: A Human Activity Approach to User Interface Design",,,Scopus
"Copeland D.G., McKenney J.L.","Airline reservations systems: Lessons from history",1988,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751578486&doi=10.2307%2f249202&partnerID=40&md5=2a12cdfb2c4915cc3e0086fb370a0872",Article,Scopus
[No author name available],[No title available],2008,"UN E-government Survey 2008: From E-government to Connected Governance",,,Scopus
"Kessides I.",[No title available],2004,"Reforming Infrastructure: Privatization, Regulation, and Competition",,,Scopus
"Kling R.","Learning about information technologies and social change: The contribution of social informatics",2000,"Information Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034338059&doi=10.1080%2f01972240050133661&partnerID=40&md5=2ada1c9c9978a4569c1125e0fd6b2cf5",Article,Scopus
"Azjen I., Fishbein M.",[No title available],1980,"Understanding Attitudes and Predicting Social Behavior",,,Scopus
"Engeström Y.","Expansive Visibilization of Work: An Activity-Theoretical Perspective",1999,"Computer Supported Cooperative Work","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032651686&doi=10.1023%2fA%3a1008648532192&partnerID=40&md5=b865381128b39fac88128105a712b018",Review,Scopus
"Arora A., Arunachalam V.S., Asundi J., Fernandes R.","The Indian software services industry",2001,"Research Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035478474&doi=10.1016%2fS0048-7333%2800%2900148-7&partnerID=40&md5=825b6791d49da2a3bbbf2f0ca7f0b340",Article,Scopus
"Takada H., Jain D.","Cross-national analysis of diffusion of consumer durable goods in pacific rim countries",1991,"Journal of Marketing",,,Scopus
"Hasselbring W.","Information system integration",2000,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346487427&doi=10.1145%2f336460.336472&partnerID=40&md5=0378be9934cf16d72f3bacdd72fa6411",Article,Scopus
"Fox-Wolfgramm S.J., Boal K.B., Hunt J.G.J.","Organizational adaptation to institutional change: A comparative study of first-order change in prospector and defender banks",1998,"Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032220596&doi=10.2307%2f2393592&partnerID=40&md5=62e0b0f8167520e2bf4aba337dd609bb",Article,Scopus
"Soubbotina T.P.",[No title available],2004,"Beyond Economic Growth: Meeting the Challenges of Global Development",,,Scopus
"Malone T.W., Laubacher R.J.","The dawn of the e-lance economy.",1998,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032158687&partnerID=40&md5=b5267854f963ff01fb234749156b5e07",Article,Scopus
"Rahm M.R., Huffman W.E.","The adoption of reduced tillage: The role of human capital and other variables",1984,"American Journal of Agricultural Economics",,,Scopus
"Littlejohns P., Wyatt J.C., Garvican L.","Evaluating computerised health information systems: Hard lessons still to be learnt",2003,"British Medical Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037454376&doi=10.1136%2fbmj.326.7394.860&partnerID=40&md5=72faccd55be417a14b250c1f4eec8d2f",Article,Scopus
"Oxley J.E., Yeung B.","E-Commerce readiness: Institutional environment and international competitiveness",2001,"Journal of International Business Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035729294&doi=10.1057%2fpalgrave.jibs.8490991&partnerID=40&md5=9e8da4611cf25365ee099ca91d4f6984",Article,Scopus
"Kaplan B., Maxwell J.A.","Qualitative research methods for evaluating computer information systems",1994,"Evaluating Health Care Information Systems: Methods and Applications",,,Scopus
"Mabert V.A., Soni A., Venkataramanan M.A.","Enterprise resource planning survey of U.S. manufacturing firms",2000,"Production and Inventory Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001917372&partnerID=40&md5=aed4f03fbd70c4715a34aca34e01d3af",Article,Scopus
"Elden M., Chisholm R.F.","Emerging Varieties of Action Research: Introduction to the Special Issue",1993,"Human Relations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250036042&doi=10.1177%2f001872679304600201&partnerID=40&md5=bbc238b5055db4d809368236ac1b9f4f",Article,Scopus
"Alavi M., Carlson P.","A review of MIS research and disciplinary development",1992,"Journal of Management Information Systems",,,Scopus
"Bjerknes G., Bratteteig T.","User participation and democracy: A discussion of Scandinavian research on system development",1995,"Scandinavian Journal of Information Systems",,,Scopus
"Suchman L.","Working relations of technology production and use",1993,"Computer Supported Cooperative Work","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002673331&doi=10.1007%2fBF00749282&partnerID=40&md5=190f90a79c94cac482779775bdb5d87a",Article,Scopus
[No author name available],[No title available],2005,"World Telecommunication Indicators Database",,,Scopus
"Smithson S., Hirschheim R.","Analysing information systems evaluation: Another look at an old problem",1998,"European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22444452011&doi=10.1057%2fpalgrave.ejis.3000304&partnerID=40&md5=b0ff15aabc5ae9e931d460274e4353c5",Article,Scopus
"Harley J.B.","Deconstructing the map",1992,"Writing Worlds: Discourse, Text and Metaphor in the Representation of Landscape",,,Scopus
"Gleijeses P.","Shattered Hope: The Guatemalan Revolution and the United States, 1944-1954",1991,"Shattered Hope: The Guatemalan Revolution and the United States, 1944-1954",,,Scopus
"Goodhue D.L., Wybo M.D., Kirsch L.J.","The impact of data integration on the costs and benefits of information systems",1992,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349102328&doi=10.2307%2f249530&partnerID=40&md5=c05a13097466464a84405248d219b85d",Article,Scopus
"Benbasat I., Weber R.","Research Commentary: Rethinking ""Diversity"" in Information Systems Research",1996,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347933880&doi=10.1287%2fisre.7.4.389&partnerID=40&md5=aa402bc40c73f22100cf3d5e44665e73",Review,Scopus
"Benjamin Robert I., Rockart John F., Scott Morton Michael S., Wyman John","INFORMATION TECHNOLOGY: A STRATEGIC OPPORTUNITY.",1984,"Sloan management review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021401465&partnerID=40&md5=3e4c1523dc20d41e21104c5ec5a57921",Article,Scopus
"Jarvenpaa S.L., Leidner D.E.","An Information Company in Mexico: Extending the Resource-Based View of the Firm to a Developing Country Context",1998,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032250053&doi=10.1287%2fisre.9.4.342&partnerID=40&md5=711f2a59f2a70e80fcace4b0a381d538",Article,Scopus
"Chen Y.N., Chen H.M., Huang W., Ching R.K.H.","E-government strategies in developed and developing countries: An implementation framework and case study",2006,"Journal of Global Information Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645709910&doi=10.4018%2fjgim.2006010102&partnerID=40&md5=6866df68dd688dc5ce7411d3d1862a23",Article,Scopus
"Schultze U., Boland Jr. R.J.","Knowledge management technology and the reproduction of knowledge work practices",2000,"Journal of Strategic Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000244946&doi=10.1016%2fs0963-8687%2800%2900043-3&partnerID=40&md5=14e291fd883bacb8bed88427395beca0",Article,Scopus
"Kaptelinin V.","Activity theory: Implications for human-computer interaction",1996,"Activity Theory and Human-Computer Interaction",,,Scopus
"Danziger J.N., Dutton W.H., Kling R., Kraemer K.L.",[No title available],1982,"Computers and Politics: High Technology in American Local Governments",,,Scopus
"Webster J.","Networks of collaboration or conflict? Electronic data interchange and power in the supply chain",1995,"Journal of Strategic Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149322610&doi=10.1016%2f0963-8687%2895%2980013-G&partnerID=40&md5=71590b7c48051975802876f3fd71d695",Article,Scopus
"Capon N., Glazer R.","Marketing and technology: A strategic coalignment",1987,"Journal of Marketing",,,Scopus
"Muto M., Yamano T.","The Impact of Mobile Phone Coverage Expansion on Market Participation: Panel Data Evidence from Uganda",2009,"World Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449093940&doi=10.1016%2fj.worlddev.2009.05.004&partnerID=40&md5=67793ad92f7b88dff35dfcfda05cd64f",Article,Scopus
"Martinsons M.G., Westwood R.I.","Management information systems in the Chinese business culture: An explanatory theory",1997,"Information and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000512139&doi=10.1016%2fS0378-7206%2896%2900009-2&partnerID=40&md5=9dee29dedc44156a298e404ce3c9a0b5",Article,Scopus
"Mahajan V., Muller E.","Timing, diffusion, and substitution of successive generations of technological innovations: The IBM mainframe case",1996,"Technological Forecasting and Social Change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030083034&doi=10.1016%2f0040-1625%2895%2900225-1&partnerID=40&md5=e677c5de237b8166129c8270c6e1250f",Article,Scopus
"Bekkers V., Homburg V.","The Myths of E-government: Looking beyond the assumptions of a new and better government",2007,"Information Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35348861951&doi=10.1080%2f01972240701572913&partnerID=40&md5=8c9ff0656f57b891984456eb4d296b60",Article,Scopus
"Brynjolfsson E., Kahin B.",[No title available],2000,"Understanding the Digital Economy",,,Scopus
"Frederickson H.G.","The repositioning of American public administration",1999,"PS - Political Science and Politics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033478697&doi=10.2307%2f420159&partnerID=40&md5=17750f5dd8d8b805d0bd1db5ccb206f6",Review,Scopus
"Checkland P.","From framework through experience to learning: The essential nature of action research",1991,"Information Systems Research: Contemporary Approaches and Emergent Traditions",,,Scopus
"Malone T.W., Yates J., Benjamin R.I.","The logic of electronic markets.",1989,"Harvard Business Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3242779574&partnerID=40&md5=e52d54627e2a84069658952f0bac32e1",Article,Scopus
"Avgerou C.","Information systems and global diversity",2007,"Information Systems and Global Diversity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921281780&doi=10.1093%2facprof%3aoso%2f9780199263424.001.0001&partnerID=40&md5=75d5338ea3c6002cf39c3513a8e6c785",Book,Scopus
"Hayes D.C., Hunton J.E., Reck J.L.","Market reaction to ERP implementation announcements",2001,"Journal of Information Systems",,,Scopus
"Baroudi J.J., Orlikowski W.J.","The problem of statistical power in MIS research",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002437598&doi=10.2307%2f248704&partnerID=40&md5=600730776b6fe9650d2c5351b129f130",Article,Scopus
"Fountain J.E.","Paradoxes of public sector customer service",2001,"Governance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035649354&doi=10.1111%2f0952-1895.00151&partnerID=40&md5=5ea39b7ceb7df7d7865855350b798059",Article,Scopus
"Wheeler D.A.",[No title available],2007,"Why Open Source Software / Free Software (OSS/FS)? Look at the Numbers!",,,Scopus
"Hitt L.M.","Information Technology and Firm Boundaries: Evidence from Panel Data",1999,"Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033420384&doi=10.1287%2fisre.10.2.134&partnerID=40&md5=78140ddf50f26247603eae27ad48296e",Article,Scopus
"Baliamoune-Lutz M.","An analysis of the determinants and effects of ict diffusion in developing countries",2003,"Information Technology for Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996452260&doi=10.1002%2fitdj.1590100303&partnerID=40&md5=ab37d0b90547dd0f1a21048254420043",Article,Scopus
